case,n,method,repetition,status,bound,corrected_patches,total_seconds
frequency_1_asym_0.35_ripple_0,1024,global_polynomial,2,certified,0.0043140231659851164,0,0.5631836999673396
frequency_1_asym_0.35_ripple_0,1024,adaptive_polynomial,2,certified,0.0043334802297220545,0,0.16392980003729463
frequency_1_asym_0.35_ripple_0.12,256,adaptive_hybrid,2,certified,0.06341911511906125,0,0.09231759991962463
frequency_1_asym_0.35_ripple_0.12,256,global_polynomial,2,certified,0.04372825045012295,0,0.1580136000411585
frequency_1_asym_0.35_ripple_0.12,256,adaptive_polynomial,2,certified,0.06341911511906125,0,0.04676830000244081
frequency_1_asym_0.35_ripple_0.12,1024,adaptive_hybrid,2,certified,0.006811298687293423,0,0.1775715999538079
frequency_1_asym_0.35_ripple_0.12,1024,global_polynomial,2,certified,0.0064589152079574655,0,0.5744637999450788
frequency_1_asym_0.35_ripple_0.12,1024,adaptive_polynomial,2,certified,0.006811298687293423,0,0.16138730000238866
frequency_2_asym_0.15_ripple_0,256,adaptive_hybrid,2,certified,0.04371650906391803,0,0.12414620001800358
frequency_2_asym_0.15_ripple_0,256,global_polynomial,2,certified,0.0359071508507972,0,0.15078179992269725
frequency_2_asym_0.15_ripple_0,256,adaptive_polynomial,2,certified,0.04371650906391803,0,0.05152380000799894
frequency_2_asym_0.15_ripple_0,1024,adaptive_hybrid,2,certified,0.008805264994859258,0,0.19074210000690073
frequency_2_asym_0.15_ripple_0,1024,global_polynomial,2,certified,0.008788894538141462,0,0.580283600022085
frequency_2_asym_0.15_ripple_0,1024,adaptive_polynomial,2,certified,0.008805264994859258,0,0.17091239988803864
frequency_2_asym_0.15_ripple_0.12,256,adaptive_hybrid,2,certified,0.15576182758921236,2,0.20535099995322526
frequency_2_asym_0.15_ripple_0.12,256,global_polynomial,2,certified,0.12976249068352771,0,0.1601407000562176
frequency_2_asym_0.15_ripple_0.12,256,adaptive_polynomial,2,certified,0.19449845927631618,0,0.05188869999255985
frequency_2_asym_0.15_ripple_0.12,1024,adaptive_hybrid,2,certified,0.015581006397986727,0,0.26892119995318353
frequency_2_asym_0.15_ripple_0.12,1024,global_polynomial,2,certified,0.01569787091495917,0,0.5928539000451565
frequency_2_asym_0.15_ripple_0.12,1024,adaptive_polynomial,2,certified,0.015581006397986727,0,0.17339829995762557
frequency_2_asym_0.35_ripple_0,256,adaptive_hybrid,2,certified,0.03996971727827383,0,0.07008590002078563
frequency_2_asym_0.35_ripple_0,256,global_polynomial,2,certified,0.03949718624641143,0,0.162709099939093
frequency_2_asym_0.35_ripple_0,256,adaptive_polynomial,2,certified,0.03996971727827383,0,0.052156300051137805
frequency_2_asym_0.35_ripple_0,1024,adaptive_hybrid,2,certified,0.009757623203688363,0,0.2050569000421092
frequency_2_asym_0.35_ripple_0,1024,global_polynomial,2,certified,0.009738619790509325,0,0.5785900999326259
frequency_2_asym_0.35_ripple_0,1024,adaptive_polynomial,2,certified,0.009757623203688363,0,0.17113739997148514
frequency_2_asym_0.35_ripple_0.12,256,adaptive_hybrid,2,certified,0.2060119347612609,1,0.14025489997584373
frequency_2_asym_0.35_ripple_0.12,256,global_polynomial,2,certified,0.17944509869032804,0,0.15768950001802295
frequency_2_asym_0.35_ripple_0.12,256,adaptive_polynomial,2,certified,0.1917208501769577,0,0.051788800046779215
frequency_2_asym_0.35_ripple_0.12,1024,adaptive_hybrid,2,certified,0.014961977540575133,0,0.3045999000314623
frequency_2_asym_0.35_ripple_0.12,1024,global_polynomial,2,certified,0.014961977540575133,0,0.5913581000640988
frequency_2_asym_0.35_ripple_0.12,1024,adaptive_polynomial,2,certified,0.014961977540575133,0,0.17153509997297078
frequency_4_asym_0.15_ripple_0,256,adaptive_hybrid,2,certified,0.11636750779414853,1,0.18052009993698448
frequency_4_asym_0.15_ripple_0,256,global_polynomial,2,certified,0.10308382267433439,0,0.162492600036785
frequency_4_asym_0.15_ripple_0,256,adaptive_polynomial,2,certified,0.11636750779414853,0,0.06467989995144308
frequency_4_asym_0.15_ripple_0,1024,adaptive_hybrid,2,certified,0.0211519455544006,0,0.24971050000749528
frequency_4_asym_0.15_ripple_0,1024,global_polynomial,2,certified,0.01734321675578727,0,0.5920413000276312
frequency_4_asym_0.15_ripple_0,1024,adaptive_polynomial,2,certified,0.0211519455544006,0,0.1909111998975277
