case,n,method,scope,rank,epsilon,width,degree,status,residual_upper,distance_upper,bound_upper,bound_lower,cutoff,seconds,reason
skew_strong,256,uncorrected,wide,42,"[3, 64]",,,above_target,,,,0.27367391605761915,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028217000071890652,
skew_strong,256,uncorrected,wide,43,"[49, 1024]",,,above_target,,,,0.279318961287009,"[27473416655753778922589000223, 316912650057057350374175801344]",0.03239539999049157,
skew_strong,256,uncorrected,wide,44,"[25, 512]",,,above_target,,,,0.2849500179241457,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02829290006775409,
skew_strong,256,uncorrected,wide,45,"[51, 1024]",,,above_target,,,,0.2905650460019485,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029171600006520748,
skew_strong,256,uncorrected,wide,46,"[13, 256]",,,above_target,,,,0.2961637856471294,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028792800032533705,
skew_strong,256,uncorrected,wide,47,"[53, 1024]",,,above_target,,,,0.30174597613496124,"[27473416655753778922589000223, 316912650057057350374175801344]",0.0283773000119254,
skew_strong,256,uncorrected,wide,48,"[27, 512]",,,above_target,,,,0.30733673917260756,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028320300043560565,
skew_strong,256,uncorrected,wide,49,"[55, 1024]",,,above_target,,,,0.3129253841014913,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028557200101204216,
skew_strong,256,uncorrected,wide,50,"[7, 128]",,,above_target,,,,0.31849825295745177,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028503299923613667,
skew_strong,256,uncorrected,wide,51,"[57, 1024]",,,above_target,,,,0.324055094695731,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028485000017099082,
skew_strong,256,uncorrected,wide,52,"[29, 512]",,,above_target,,,,0.3296025969099483,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028543499996885657,
skew_strong,256,uncorrected,wide,53,"[59, 1024]",,,above_target,,,,0.3351400915039298,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028536400059238076,
skew_strong,256,uncorrected,wide,54,"[15, 256]",,,above_target,,,,0.3406612972265589,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02881129994057119,
skew_strong,256,uncorrected,wide,55,"[61, 1024]",,,above_target,,,,0.3461659611208172,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028788499999791384,
skew_strong,256,uncorrected,wide,56,"[31, 512]",,,above_target,,,,0.3516538293622922,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028762699919752777,
skew_strong,256,uncorrected,wide,57,"[63, 1024]",,,above_target,,,,0.3571246473596446,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029281700029969215,
skew_strong,256,uncorrected,wide,58,"[1, 16]",,,above_target,,,,0.36257815976165836,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02898319996893406,
skew_strong,256,uncorrected,wide,59,"[65, 1024]",,,above_target,,,,0.3680141103565994,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029236599919386208,
skew_strong,256,uncorrected,wide,60,"[33, 512]",,,above_target,,,,0.3734409557126213,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029035800020210445,
skew_strong,256,uncorrected,wide,61,"[67, 1024]",,,above_target,,,,0.3788943476165037,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02953320008236915,
skew_strong,256,uncorrected,wide,62,"[17, 256]",,,above_target,,,,0.38433485319676125,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029004099895246327,
skew_strong,256,uncorrected,wide,63,"[69, 1024]",,,above_target,,,,0.38975893058508065,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029325100011192262,
skew_strong,256,uncorrected,wide,64,"[35, 512]",,,above_target,,,,0.3951675911590833,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029158899909816682,
skew_strong,256,uncorrected,wide,65,"[71, 1024]",,,above_target,,,,0.400562715735271,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029114400036633015,
skew_strong,256,uncorrected,wide,66,"[9, 128]",,,above_target,,,,0.4059411498163506,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029085200047120452,
skew_strong,256,uncorrected,wide,67,"[73, 1024]",,,above_target,,,,0.41130229102631255,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029339400003664196,
skew_strong,256,uncorrected,wide,68,"[37, 512]",,,above_target,,,,0.4166457363217368,"[27473416655753778922589000223, 316912650057057350374175801344]",0.0292806999059394,
skew_strong,256,uncorrected,wide,69,"[1, 256]",,,above_target,,,,0.4370407915807484,"[27473416655753778922589000223, 316912650057057350374175801344]",0.022866600076667964,
