case,target,method,repetition,status,n,bound,total_seconds
frequency_1_asym_0.35_ripple_0,1/50,adaptive_polynomial,1,target_certified,256,0.019245805052795446,0.0687875000294298
frequency_1_asym_0.35_ripple_0,1/50,adaptive_hybrid,1,target_certified,256,0.019245805052795446,0.10900900000706315
frequency_1_asym_0.35_ripple_0,1/50,global_polynomial,1,target_certified,256,0.015648250014015264,0.1028736000880599
frequency_1_asym_0.35_ripple_0,1/100,adaptive_polynomial,1,target_certified,512,0.008439999594092381,0.14151909993961453
frequency_1_asym_0.35_ripple_0,1/100,adaptive_hybrid,1,target_certified,512,0.008439999594092381,0.15064760006498545
frequency_1_asym_0.35_ripple_0,1/100,global_polynomial,1,target_certified,512,0.007974739435306208,0.20368049992248416
frequency_1_asym_0.35_ripple_0.12,1/25,adaptive_polynomial,1,target_certified,512,0.01975964514667847,0.15562640002463013
frequency_1_asym_0.35_ripple_0.12,1/25,adaptive_hybrid,1,target_certified,512,0.01975964514667847,0.20779230003245175
frequency_1_asym_0.35_ripple_0.12,1/25,global_polynomial,1,target_certified,512,0.012771737133642734,0.23843720008153468
frequency_1_asym_0.35_ripple_0.12,1/50,adaptive_polynomial,1,target_certified,512,0.01975964514667847,0.1405374000314623
frequency_1_asym_0.35_ripple_0.12,1/50,adaptive_hybrid,1,target_certified,512,0.01975964514667847,0.1586884999414906
frequency_1_asym_0.35_ripple_0.12,1/50,global_polynomial,1,target_certified,512,0.012771737133642734,0.2061641999753192
frequency_1_asym_0.35_ripple_0.12,1/100,adaptive_polynomial,1,target_certified,1024,0.006811298687293423,0.29179909999947995
frequency_1_asym_0.35_ripple_0.12,1/100,adaptive_hybrid,1,target_certified,1024,0.006811298687293423,0.30969919997733086
frequency_1_asym_0.35_ripple_0.12,1/100,global_polynomial,1,target_certified,1024,0.0064589152079574655,0.40693429997190833
frequency_2_asym_0.15_ripple_0,1/25,adaptive_polynomial,1,target_certified,512,0.017027218204661226,0.16209440003149211
frequency_2_asym_0.15_ripple_0,1/25,adaptive_hybrid,1,target_certified,512,0.017027218204661226,0.25071039993781596
frequency_2_asym_0.15_ripple_0,1/25,global_polynomial,1,target_certified,256,0.0359071508507972,0.10090030007995665
frequency_2_asym_0.15_ripple_0,1/50,adaptive_polynomial,1,target_certified,512,0.017027218204661226,0.1381354999030009
frequency_2_asym_0.15_ripple_0,1/50,adaptive_hybrid,1,target_certified,512,0.017027218204661226,0.1563876000000164
frequency_2_asym_0.15_ripple_0,1/50,global_polynomial,1,target_certified,512,0.017027218204661226,0.21653790003620088
frequency_2_asym_0.15_ripple_0,1/100,adaptive_polynomial,1,target_certified,1024,0.008805264994859258,0.2839286000235006
frequency_2_asym_0.15_ripple_0,1/100,adaptive_hybrid,1,target_certified,1024,0.008805264994859258,0.31172560004051775
frequency_2_asym_0.15_ripple_0,1/100,global_polynomial,1,target_certified,1024,0.008791664541323206,0.4134706000331789
frequency_2_asym_0.15_ripple_0.12,1/25,adaptive_polynomial,1,target_certified,1024,0.015581006397986727,0.3019780000904575
frequency_2_asym_0.15_ripple_0.12,1/25,adaptive_hybrid,1,target_certified,1024,0.015581006397986727,0.4472846999997273
frequency_2_asym_0.15_ripple_0.12,1/25,global_polynomial,1,target_certified,512,0.03311756841280252,0.20628110005054623
frequency_2_asym_0.15_ripple_0.12,1/50,adaptive_polynomial,1,target_certified,1024,0.015581006397986727,0.2845888000447303
frequency_2_asym_0.15_ripple_0.12,1/50,adaptive_hybrid,1,target_certified,1024,0.015581006397986727,0.3892585000721738
frequency_2_asym_0.15_ripple_0.12,1/50,global_polynomial,1,target_certified,1024,0.01569787091495917,0.42326329997740686
frequency_2_asym_0.15_ripple_0.12,1/100,adaptive_polynomial,1,target_certified,2048,0.006677659457593314,0.5904622001107782
frequency_2_asym_0.15_ripple_0.12,1/100,adaptive_hybrid,1,target_certified,2048,0.006677659457593314,0.6260426000226289
frequency_2_asym_0.15_ripple_0.12,1/100,global_polynomial,1,target_certified,2048,0.0066723174773866065,0.8294770999345928
frequency_2_asym_0.35_ripple_0,1/25,adaptive_polynomial,1,target_certified,256,0.03996971727827383,0.06925329996738583
frequency_2_asym_0.35_ripple_0,1/25,adaptive_hybrid,1,target_certified,256,0.03996971727827383,0.0860198000445962
frequency_2_asym_0.35_ripple_0,1/25,global_polynomial,1,target_certified,256,0.03970443532139187,0.10146110004279763
frequency_2_asym_0.35_ripple_0,1/50,adaptive_polynomial,1,target_certified,1024,0.009757623203688363,0.32685850001871586
frequency_2_asym_0.35_ripple_0,1/50,adaptive_hybrid,1,target_certified,1024,0.009757623203688363,0.36080410005524755
frequency_2_asym_0.35_ripple_0,1/50,global_polynomial,1,target_certified,1024,0.009738619790509325,0.6120683000190184
frequency_2_asym_0.35_ripple_0,1/100,adaptive_polynomial,1,target_certified,1024,0.009757623203688363,0.287154300021939
frequency_2_asym_0.35_ripple_0,1/100,adaptive_hybrid,1,target_certified,1024,0.009757623203688363,0.30933020007796586
frequency_2_asym_0.35_ripple_0,1/100,global_polynomial,1,target_certified,1024,0.009738619790509325,0.41946280002593994
frequency_2_asym_0.35_ripple_0.12,1/25,adaptive_polynomial,1,target_certified,1024,0.014961977540575133,0.29513869993388653
frequency_2_asym_0.35_ripple_0.12,1/25,adaptive_hybrid,1,target_certified,1024,0.014961977540575133,0.46956400002818555
frequency_2_asym_0.35_ripple_0.12,1/25,global_polynomial,1,target_certified,1024,0.014961977540575133,0.43049810000229627
frequency_2_asym_0.35_ripple_0.12,1/50,adaptive_polynomial,1,target_certified,1024,0.014961977540575133,0.2878501999657601
frequency_2_asym_0.35_ripple_0.12,1/50,adaptive_hybrid,1,target_certified,1024,0.014961977540575133,0.42206330003682524
frequency_2_asym_0.35_ripple_0.12,1/50,global_polynomial,1,target_certified,1024,0.014961977540575133,0.42155430000275373
frequency_2_asym_0.35_ripple_0.12,1/100,adaptive_polynomial,1,target_certified,2048,0.0074546781833178056,0.5853451000293717
frequency_2_asym_0.35_ripple_0.12,1/100,adaptive_hybrid,1,target_certified,2048,0.0074546781833178056,0.6299520001048222
frequency_2_asym_0.35_ripple_0.12,1/100,global_polynomial,1,target_certified,2048,0.00745564855271992,0.8241992000257596
frequency_4_asym_0.15_ripple_0,1/25,adaptive_polynomial,1,target_certified,1024,0.0211519455544006,0.33618189999833703
frequency_4_asym_0.15_ripple_0,1/25,adaptive_hybrid,1,target_certified,1024,0.0211519455544006,0.49729619990102947
frequency_4_asym_0.15_ripple_0,1/25,global_polynomial,1,target_certified,1024,0.01734321675578727,0.42891410004813224
frequency_4_asym_0.15_ripple_0,1/50,adaptive_polynomial,1,target_certified,2048,0.008636140708446266,0.6355334999971092
frequency_4_asym_0.15_ripple_0,1/50,adaptive_hybrid,1,target_certified,2048,0.008636140708446266,0.719043800025247
frequency_4_asym_0.15_ripple_0,1/50,global_polynomial,1,target_certified,1024,0.01734321675578727,0.43594340002164245
frequency_4_asym_0.15_ripple_0,1/100,adaptive_polynomial,1,target_certified,2048,0.008636140708446266,0.5860613000113517
frequency_4_asym_0.15_ripple_0,1/100,adaptive_hybrid,1,target_certified,2048,0.008636140708446266,0.6321750999195501
frequency_4_asym_0.15_ripple_0,1/100,global_polynomial,1,target_certified,2048,0.008635871635950908,0.8501759000355378
frequency_4_asym_0.15_ripple_0.12,1/25,adaptive_polynomial,1,target_certified,2048,0.017858374846029673,0.5859407000243664
frequency_4_asym_0.15_ripple_0.12,1/25,adaptive_hybrid,1,target_certified,2048,0.017858374846029673,0.7903930000029504
