case,method,target,repetition,status,n,seconds,bound
anisotropic_l2,refined_corrected,0.12,2,target_certified,17,2.240238699945621,0.08609843369185016
anisotropic_l2,refined_corrected,0.08,2,target_certified,33,6.072543499991298,0.059525865814017226
anisotropic_l2,refined_corrected,0.04,2,target_certified,65,16.78582450002432,0.025483966140148567
anisotropic_l2,polynomial,0.12,2,target_certified,33,6.138053599977866,0.10079048291016565
anisotropic_l2,polynomial,0.08,2,target_certified,65,14.432317600003444,0.05896451263575199
anisotropic_l2,polynomial,0.04,2,not_reached,,20.52496459998656,
anisotropic_l2,refined_polynomial,0.12,2,target_certified,17,2.872717799968086,0.0676534481486881
anisotropic_l2,refined_polynomial,0.08,2,target_certified,17,2.872717799968086,0.0676534481486881
anisotropic_l2,refined_polynomial,0.04,2,target_certified,65,25.653440000023693,0.024660084210925044
curved_l2,refined_corrected,0.12,2,target_certified,17,4.064823599997908,0.07483894207935958
curved_l2,refined_corrected,0.08,2,target_certified,17,4.064823599997908,0.07483894207935958
curved_l2,refined_corrected,0.04,2,target_certified,65,22.727497200015932,0.027671265222741066
curved_l2,polynomial,0.12,2,target_certified,33,5.776960699935444,0.09618713240289807
curved_l2,polynomial,0.08,2,target_certified,65,13.010284999967553,0.061219772295134825
curved_l2,polynomial,0.04,2,not_reached,,18.488880099961534,
curved_l2,refined_polynomial,0.12,2,target_certified,17,3.587407000013627,0.07534243386971264
curved_l2,refined_polynomial,0.08,2,target_certified,17,3.587407000013627,0.07534243386971264
curved_l2,refined_polynomial,0.04,2,target_certified,65,35.32866070000455,0.02705122948066097
holdout_a,refined_corrected,0.12,2,target_certified,17,4.337955499999225,0.07248326612013609
holdout_a,refined_corrected,0.08,2,target_certified,17,4.337955499999225,0.07248326612013609
holdout_a,refined_corrected,0.04,2,target_certified,65,25.754777899943292,0.03950544485001332
holdout_a,polynomial,0.12,2,target_certified,33,6.115910499938764,0.09290170222861256
holdout_a,polynomial,0.08,2,target_certified,65,14.200722999987192,0.05007486475174145
holdout_a,polynomial,0.04,2,not_reached,,20.001872399938293,
holdout_a,refined_polynomial,0.12,2,target_certified,17,1.8599519999697804,0.0942894563364472
holdout_a,refined_polynomial,0.08,2,target_certified,17,6.828056700062007,0.07245564473167378
holdout_a,refined_polynomial,0.04,2,target_certified,65,30.188460499979556,0.02710829352204356
holdout_b,refined_corrected,0.12,2,target_certified,17,4.827281999983825,0.10306684090597183
holdout_b,refined_corrected,0.08,2,target_certified,33,13.973323700018227,0.05687501614468587
holdout_b,refined_corrected,0.04,2,target_certified,65,19.71940679999534,0.03614244367108676
holdout_b,polynomial,0.12,2,target_certified,65,12.609381799935363,0.07314881519211595
holdout_b,polynomial,0.08,2,target_certified,65,12.609381799935363,0.07314881519211595
holdout_b,polynomial,0.04,2,not_reached,,18.112100400030613,
holdout_b,refined_polynomial,0.12,2,target_certified,17,7.116846299963072,0.08132893977236816
holdout_b,refined_polynomial,0.08,2,target_certified,33,14.561331999953836,0.05774252543503387
holdout_b,refined_polynomial,0.04,2,target_certified,65,28.59450929996092,0.027055484694673976
