case,target,method,repetition,n,status,epsilon,width,degree,upper,lower,seconds,reason
skew,0.01,uncorrected,1,64,above_target,"[3, 64]",,,,0.19861838467166437,0.0060857999487780035,
skew,0.01,uncorrected,1,128,above_target,"[3, 128]",,,,0.1132796175692266,0.01228249998530373,
skew,0.01,uncorrected,1,128,above_target,"[1, 64]",,,,0.11745484343685518,0.011708500038366765,
skew,0.01,uncorrected,1,128,above_target,"[5, 256]",,,,0.08219175306707907,0.011795300000812858,
skew,0.01,uncorrected,1,256,above_target,"[7, 512]",,,,0.0657396324500105,0.02318880002712831,
skew,0.01,uncorrected,1,256,above_target,"[1, 64]",,,,0.07233603574194405,0.023545999953057617,
skew,0.01,uncorrected,1,256,above_target,"[9, 512]",,,,0.08254632568091852,0.023676900018472224,
skew,0.01,uncorrected,1,512,above_target,"[1, 128]",,,,0.04040219665728203,0.045275700045749545,
skew,0.01,uncorrected,1,512,above_target,"[5, 512]",,,,0.04685983883712286,0.04572090000147,
skew,0.01,uncorrected,1,512,above_target,"[9, 1024]",,,,0.0456520188678347,0.045564400032162666,
skew,0.01,uncorrected,1,1024,above_target,"[5, 1024]",,,,0.02355554489265958,0.08454020001227036,
skew,0.01,uncorrected,1,1024,above_target,"[9, 2048]",,,,0.024765036853001614,0.0842743999673985,
skew,0.01,uncorrected,1,1024,above_target,"[11, 2048]",,,,0.02616724280605672,0.08364329999312758,
skew,0.01,uncorrected,1,2048,above_target,"[5, 2048]",,,,0.013086181590973807,0.17498050001449883,
skew,0.01,uncorrected,1,2048,above_target,"[11, 4096]",,,,0.013121320964764628,0.1752033000229858,
skew,0.01,uncorrected,1,2048,above_target,"[3, 1024]",,,,0.014433473870545884,0.1749963000183925,
skew,0.01,uncorrected,1,4096,certified,"[13, 8192]",,,0.007887026279947097,,0.7856327000190504,
skew,0.01,uncorrected,2,64,above_target,"[5, 128]",,,,0.15994202026892337,0.0060804999666288495,
skew,0.01,uncorrected,2,64,above_target,"[1, 32]",,,,0.20166809271162775,0.005979000008665025,
skew,0.01,uncorrected,2,64,above_target,"[3, 64]",,,,0.19861838467166437,0.0060789999552071095,
skew,0.01,uncorrected,2,128,above_target,"[3, 128]",,,,0.1132796175692266,0.012282300041988492,
skew,0.01,uncorrected,2,128,above_target,"[1, 64]",,,,0.11745484343685518,0.011720600014086813,
skew,0.01,uncorrected,2,128,above_target,"[5, 256]",,,,0.08219175306707907,0.01189719996182248,
skew,0.01,uncorrected,2,256,above_target,"[7, 512]",,,,0.0657396324500105,0.023204100027214736,
skew,0.01,uncorrected,2,256,above_target,"[1, 64]",,,,0.07233603574194405,0.023517300025559962,
skew,0.01,uncorrected,2,256,above_target,"[9, 512]",,,,0.08254632568091852,0.02375759999267757,
skew,0.01,uncorrected,2,512,above_target,"[1, 128]",,,,0.04040219665728203,0.04472500004339963,
skew,0.01,uncorrected,2,512,above_target,"[5, 512]",,,,0.04685983883712286,0.045856499986257404,
skew,0.01,uncorrected,2,512,above_target,"[9, 1024]",,,,0.0456520188678347,0.045511400036048144,
skew,0.01,uncorrected,2,1024,above_target,"[5, 1024]",,,,0.02355554489265958,0.0846464000060223,
skew,0.01,uncorrected,2,1024,above_target,"[9, 2048]",,,,0.024765036853001614,0.08366950001800433,
skew,0.01,uncorrected,2,1024,above_target,"[11, 2048]",,,,0.02616724280605672,0.08332670002710074,
skew,0.01,uncorrected,2,2048,above_target,"[5, 2048]",,,,0.013086181590973807,0.17411759996321052,
skew,0.01,uncorrected,2,2048,above_target,"[11, 4096]",,,,0.013121320964764628,0.17267910001100972,
skew,0.01,uncorrected,2,2048,above_target,"[3, 1024]",,,,0.014433473870545884,0.17208949994528666,
skew,0.01,uncorrected,2,4096,certified,"[13, 8192]",,,0.007887026279947097,,0.7854993000510149,
skew,0.01,corrected,0,64,above_target,"[5, 64]",,,,0.14023221520177556,0.006544700008817017,
skew,0.01,corrected,0,64,above_target,"[3, 32]",,,,0.14760427793552053,0.006626999995205551,
skew,0.01,corrected,0,64,above_target,"[11, 128]",,,,0.1324780313080953,0.0065679000108502805,
skew,0.01,corrected,0,128,above_target,"[13, 256]",,,,0.045148394022878444,0.014262999990023673,
skew,0.01,corrected,0,128,above_target,"[3, 64]",,,,0.05245552848683287,0.0140543999732472,
skew,0.01,corrected,0,128,above_target,"[7, 128]",,,,0.052302193990527816,0.014200799982063472,
skew,0.01,corrected,0,256,above_target,"[1, 32]",,,,0.018508713318603688,0.024636699992697686,
skew,0.01,corrected,0,256,above_target,"[17, 512]",,,,0.020706675238769335,0.02575039997464046,
skew,0.01,corrected,0,256,above_target,"[15, 512]",,,,0.01808453296090965,0.024936100002378225,
skew,0.01,corrected,0,512,certified,"[5, 256]",,,0.008522602962402412,,0.1090081000002101,
skew,0.01,corrected,1,64,above_target,"[5, 64]",,,,0.14023221520177556,0.006572499987669289,
skew,0.01,corrected,1,64,above_target,"[3, 32]",,,,0.14760427793552053,0.006590300006791949,
skew,0.01,corrected,1,64,above_target,"[11, 128]",,,,0.1324780313080953,0.0064990000100806355,
skew,0.01,corrected,1,128,above_target,"[13, 256]",,,,0.045148394022878444,0.014286099991295487,
skew,0.01,corrected,1,128,above_target,"[3, 64]",,,,0.05245552848683287,0.014127700007520616,
skew,0.01,corrected,1,128,above_target,"[7, 128]",,,,0.052302193990527816,0.014262200042139739,
skew,0.01,corrected,1,256,above_target,"[1, 32]",,,,0.018508713318603688,0.02522599999792874,
skew,0.01,corrected,1,256,above_target,"[17, 512]",,,,0.020706675238769335,0.026556700002402067,
skew,0.01,corrected,1,256,above_target,"[15, 512]",,,,0.01808453296090965,0.025115199969150126,
skew,0.01,corrected,1,512,certified,"[5, 256]",,,0.008522602962402412,,0.11265690001891926,
skew,0.01,corrected,2,64,above_target,"[5, 64]",,,,0.14023221520177556,0.006593300029635429,
skew,0.01,corrected,2,64,above_target,"[3, 32]",,,,0.14760427793552053,0.006609800038859248,
skew,0.01,corrected,2,64,above_target,"[11, 128]",,,,0.1324780313080953,0.0065243999706581235,
skew,0.01,corrected,2,128,above_target,"[13, 256]",,,,0.045148394022878444,0.014316099986899644,
skew,0.01,corrected,2,128,above_target,"[3, 64]",,,,0.05245552848683287,0.014101499982643872,
skew,0.01,corrected,2,128,above_target,"[7, 128]",,,,0.052302193990527816,0.014169299975037575,
skew,0.01,corrected,2,256,above_target,"[1, 32]",,,,0.018508713318603688,0.024984499963466078,
skew,0.01,corrected,2,256,above_target,"[17, 512]",,,,0.020706675238769335,0.026244000007864088,
skew,0.01,corrected,2,256,above_target,"[15, 512]",,,,0.01808453296090965,0.0249457000172697,
skew,0.01,corrected,2,512,certified,"[5, 256]",,,0.008522602962402412,,0.11445299995830283,
skew_strong,0.02,polynomial,0,64,above_target,,5,3,,0.06070575709729317,0.0030619000317528844,
skew_strong,0.02,polynomial,0,64,above_target,,4,2,,0.14665306603245323,0.0028859999729320407,
skew_strong,0.02,polynomial,0,64,above_target,,6,3,,0.1893558783008364,0.0029002000228501856,
skew_strong,0.02,polynomial,0,128,above_target,,6,3,,0.03538097510562132,0.005795900011435151,
skew_strong,0.02,polynomial,0,128,above_target,,7,3,,0.053850956351187196,0.005724499991629273,
skew_strong,0.02,polynomial,0,128,above_target,,8,3,,0.050452834526889985,0.0057468999875709414,
skew_strong,0.02,polynomial,0,256,certified,,7,3,0.015648250014015264,,0.04476570000406355,
skew_strong,0.02,polynomial,1,64,above_target,,5,3,,0.06070575709729317,0.0030093000386841595,
skew_strong,0.02,polynomial,1,64,above_target,,4,2,,0.14665306603245323,0.0028240000247024,
skew_strong,0.02,polynomial,1,64,above_target,,6,3,,0.1893558783008364,0.0028577999910339713,
skew_strong,0.02,polynomial,1,128,above_target,,6,3,,0.03538097510562132,0.005669899983331561,
skew_strong,0.02,polynomial,1,128,above_target,,7,3,,0.053850956351187196,0.005610199994407594,
skew_strong,0.02,polynomial,1,128,above_target,,8,3,,0.050452834526889985,0.005590700020547956,
skew_strong,0.02,polynomial,1,256,certified,,7,3,0.015648250014015264,,0.043556799995712936,
skew_strong,0.02,polynomial,2,64,above_target,,5,3,,0.06070575709729317,0.0031136000179685652,
skew_strong,0.02,polynomial,2,64,above_target,,4,2,,0.14665306603245323,0.002883400011342019,
skew_strong,0.02,polynomial,2,64,above_target,,6,3,,0.1893558783008364,0.0028912999550811946,
skew_strong,0.02,polynomial,2,128,above_target,,6,3,,0.03538097510562132,0.005866199964657426,
skew_strong,0.02,polynomial,2,128,above_target,,7,3,,0.053850956351187196,0.0057212000247091055,
skew_strong,0.02,polynomial,2,128,above_target,,8,3,,0.050452834526889985,0.005749500007368624,
skew_strong,0.02,polynomial,2,256,certified,,7,3,0.015648250014015264,,0.04575950000435114,
skew_strong,0.02,uncorrected,0,64,above_target,"[1, 32]",,,,0.15080212969622878,0.00658430001931265,
skew_strong,0.02,uncorrected,0,64,above_target,"[5, 128]",,,,0.19707626823250843,0.006569200020749122,
skew_strong,0.02,uncorrected,0,64,above_target,"[3, 64]",,,,0.24232986958041147,0.007110400008969009,
skew_strong,0.02,uncorrected,0,128,above_target,"[5, 256]",,,,0.12103498618425776,0.01934960001381114,
skew_strong,0.02,uncorrected,0,128,above_target,"[3, 128]",,,,0.12973804092838306,0.012328099983278662,
skew_strong,0.02,uncorrected,0,128,above_target,"[1, 64]",,,,0.13924318340497735,0.01219370000762865,
skew_strong,0.02,uncorrected,0,256,not_certified,"[3, 256]",,,,,0.006541899987496436,A branch endpoint is not strictly dominated after reconstruction.
skew_strong,0.02,uncorrected,0,256,above_target,"[1, 64]",,,,0.0905204310463456,0.028110900020692497,
skew_strong,0.02,uncorrected,0,256,above_target,"[7, 512]",,,,0.08721909158520157,0.02488789998460561,
skew_strong,0.02,uncorrected,0,512,above_target,"[9, 1024]",,,,0.05001087478631521,0.04856199998175725,
skew_strong,0.02,uncorrected,0,512,above_target,"[1, 128]",,,,0.05685437224041222,0.04641389998141676,
skew_strong,0.02,uncorrected,0,512,above_target,"[3, 512]",,,,0.05292055273642917,0.04507589997956529,
skew_strong,0.02,uncorrected,0,1024,above_target,"[5, 1024]",,,,0.02817707905715788,0.09160320000955835,
skew_strong,0.02,uncorrected,0,1024,above_target,"[9, 2048]",,,,0.025117200905202593,0.08934300002874807,
skew_strong,0.02,uncorrected,0,1024,above_target,"[11, 2048]",,,,0.031235416495555744,0.09106989996507764,
skew_strong,0.02,uncorrected,0,2048,certified,"[5, 2048]",,,0.014828490392595699,,0.44140279997373,
skew_strong,0.02,uncorrected,1,64,above_target,"[1, 32]",,,,0.15080212969622878,0.006603199988603592,
skew_strong,0.02,uncorrected,1,64,above_target,"[5, 128]",,,,0.19707626823250843,0.00657819997286424,
skew_strong,0.02,uncorrected,1,64,above_target,"[3, 64]",,,,0.24232986958041147,0.007109199999831617,
skew_strong,0.02,uncorrected,1,128,above_target,"[5, 256]",,,,0.12103498618425776,0.012199000047985464,
skew_strong,0.02,uncorrected,1,128,above_target,"[3, 128]",,,,0.12973804092838306,0.012191899993922561,
skew_strong,0.02,uncorrected,1,128,above_target,"[1, 64]",,,,0.13924318340497735,0.012101400003302842,
skew_strong,0.02,uncorrected,1,256,not_certified,"[3, 256]",,,,,0.00660349999088794,A branch endpoint is not strictly dominated after reconstruction.
skew_strong,0.02,uncorrected,1,256,above_target,"[1, 64]",,,,0.0905204310463456,0.024934399989433587,
skew_strong,0.02,uncorrected,1,256,above_target,"[7, 512]",,,,0.08721909158520157,0.024816199962515384,
skew_strong,0.02,uncorrected,1,512,above_target,"[9, 1024]",,,,0.05001087478631521,0.048463899991475046,
skew_strong,0.02,uncorrected,1,512,above_target,"[1, 128]",,,,0.05685437224041222,0.04617230000440031,
skew_strong,0.02,uncorrected,1,512,above_target,"[3, 512]",,,,0.05292055273642917,0.04491300001973286,
skew_strong,0.02,uncorrected,1,1024,above_target,"[5, 1024]",,,,0.02817707905715788,0.09156779997283593,
skew_strong,0.02,uncorrected,1,1024,above_target,"[9, 2048]",,,,0.025117200905202593,0.0896659999853,
skew_strong,0.02,uncorrected,1,1024,above_target,"[11, 2048]",,,,0.031235416495555744,0.09119539998937398,
skew_strong,0.02,uncorrected,1,2048,certified,"[5, 2048]",,,0.014828490392595699,,0.4393537000287324,
skew_strong,0.02,uncorrected,2,64,above_target,"[1, 32]",,,,0.15080212969622878,0.006615700025577098,
skew_strong,0.02,uncorrected,2,64,above_target,"[5, 128]",,,,0.19707626823250843,0.006662400031927973,
skew_strong,0.02,uncorrected,2,64,above_target,"[3, 64]",,,,0.24232986958041147,0.007085399993229657,
skew_strong,0.02,uncorrected,2,128,above_target,"[5, 256]",,,,0.12103498618425776,0.012243399978615344,
skew_strong,0.02,uncorrected,2,128,above_target,"[3, 128]",,,,0.12973804092838306,0.01213300001109019,
skew_strong,0.02,uncorrected,2,128,above_target,"[1, 64]",,,,0.13924318340497735,0.012149700021836907,
skew_strong,0.02,uncorrected,2,256,not_certified,"[3, 256]",,,,,0.006502100033685565,A branch endpoint is not strictly dominated after reconstruction.
skew_strong,0.02,uncorrected,2,256,above_target,"[1, 64]",,,,0.0905204310463456,0.025048299983609468,
skew_strong,0.02,uncorrected,2,256,above_target,"[7, 512]",,,,0.08721909158520157,0.02481390000320971,
skew_strong,0.02,uncorrected,2,512,above_target,"[9, 1024]",,,,0.05001087478631521,0.04871219996130094,
skew_strong,0.02,uncorrected,2,512,above_target,"[1, 128]",,,,0.05685437224041222,0.046067000017501414,
skew_strong,0.02,uncorrected,2,512,above_target,"[3, 512]",,,,0.05292055273642917,0.04540930001530796,
skew_strong,0.02,uncorrected,2,1024,above_target,"[5, 1024]",,,,0.02817707905715788,0.09155389998340979,
skew_strong,0.02,uncorrected,2,1024,above_target,"[9, 2048]",,,,0.025117200905202593,0.08954770001582801,
skew_strong,0.02,uncorrected,2,1024,above_target,"[11, 2048]",,,,0.031235416495555744,0.09112810000078753,
