case,n,method,scope,status,epsilon,width,degree,residual_upper,distance_upper,bound_upper,construction_seconds,proposal_seconds,total_seconds,certified,pruned,not_certified
frequency_1_asym_0.35_ripple_0,1024,corrected,standard,certified,"[19, 2048]",,,0.0028086461738723394,0.0009782968489723336,0.003786943022844673,0.03912070009391755,0.0535009999293834,4.390800200053491,3,34,0
frequency_1_asym_0.35_ripple_0.12,256,polynomial,standard,certified,,6,2,0.04155606773690069,0.002172182713222263,0.04372825045012295,0.010044700000435114,0.0024565000785514712,0.4226287000346929,1,28,1
frequency_1_asym_0.35_ripple_0.12,256,uncorrected,standard,certified,"[3, 256]",,,0.10433669317184562,0.01826916088458473,0.12260585405643035,0.0099887999240309,0.023469500010833144,1.2283869999228045,3,33,1
frequency_1_asym_0.35_ripple_0.12,256,corrected,standard,certified,"[13, 512]",,,0.06389662659453217,0.0041682775535897545,0.06806490414812193,0.009993899962864816,0.02439350006170571,1.2794582999777049,4,31,2
frequency_1_asym_0.35_ripple_0.12,1024,polynomial,standard,certified,,9,3,0.005992583290838743,0.00046633191711872277,0.0064589152079574655,0.038261599955148995,0.0032006000401452184,1.802145199966617,2,27,1
frequency_1_asym_0.35_ripple_0.12,1024,uncorrected,standard,certified,"[9, 2048]",,,0.03138259887100969,0.006870027539299744,0.03825262641030944,0.03919340006541461,0.05678280000574887,4.305875400081277,2,35,0
frequency_1_asym_0.35_ripple_0.12,1024,corrected,standard,certified,"[1, 128]",,,0.007261872437618579,0.0006827474236038284,0.007944619861222408,0.03867439995519817,0.0563376999925822,4.2010087999515235,1,35,1
frequency_2_asym_0.15_ripple_0,256,polynomial,standard,certified,,7,3,0.03178798374758661,0.004119167103210593,0.0359071508507972,0.009997999994084239,0.003100000089034438,0.4489659999962896,2,27,1
frequency_2_asym_0.15_ripple_0,256,uncorrected,standard,certified,"[5, 512]",,,0.09446593959486847,0.016265798680535352,0.11073173827540382,0.010106600006110966,0.028477499959990382,1.2241509999148548,2,35,0
frequency_2_asym_0.15_ripple_0,256,corrected,standard,certified,"[3, 128]",,,0.0522463681856916,0.005207535941794939,0.057453904127486535,0.009968099999241531,0.028111099964007735,1.254026799928397,2,35,0
frequency_2_asym_0.15_ripple_0,1024,polynomial,standard,certified,,10,3,0.007864481013846368,0.0009238078857354014,0.00878828889958177,0.03940160002093762,0.004153399961069226,2.7787402999820188,10,19,1
frequency_2_asym_0.15_ripple_0,1024,uncorrected,standard,certified,"[1, 256]",,,0.031524095611848164,0.006530911400053625,0.03805500701190179,0.03900750004686415,0.0519863999215886,4.162456599995494,2,35,0
frequency_2_asym_0.15_ripple_0,1024,corrected,standard,certified,"[9, 1024]",,,0.00846152917221841,0.001035669972633925,0.009497199144852335,0.0390002999920398,0.05047510005533695,4.570771800004877,4,33,0
