critic,beta,key,method,variant,bound,seconds
MLP,0.0,0:MLP:bellman:65536:32:0:lipschitz,Bellman,lipschitz,0.6078685840075195,34.18313559994567
MLP,0.0,0:MLP:bellman:65536:32:0:derivative,Bellman,derivative,0.6078685839775062,85.91346270003123
MLP,0.0,0:MLP:bellman:65536:64:0:lipschitz,Bellman,lipschitz,1.0358672758247849,34.16323319997173
MLP,0.0,0:MLP:bellman:65536:64:0:derivative,Bellman,derivative,1.0358672757656677,85.89814829995157
MLP,0.25,1:MLP:contact:4096:16:values,Contact,values,0.8992876234306095,34.42594340030337
MLP,0.25,1:MLP:contact:4096:16:filtered,Contact,filtered,0.6866725272930125,87.00823100004345
MLP,0.25,1:MLP:contact:4096:32:values,Contact,values,0.953965478189275,33.20992550026858
MLP,0.25,1:MLP:contact:4096:32:filtered,Contact,filtered,0.6523682897659455,85.37304700003006
MLP,0.25,1:MLP:contact:4096:64:values,Contact,values,1.3814732396967884,32.61688890005462
MLP,0.25,1:MLP:contact:4096:64:filtered,Contact,filtered,0.6503544662518834,84.54313389997697
MLP,0.25,1:MLP:contact:16384:16:values,Contact,values,0.7954649370140032,41.408778900804464
MLP,0.25,1:MLP:contact:16384:16:filtered,Contact,filtered,0.6779491113520635,96.59534200001508
MLP,0.25,1:MLP:contact:16384:32:values,Contact,values,0.8030757943361095,36.6081103993929
MLP,0.25,1:MLP:contact:16384:32:filtered,Contact,filtered,0.6365032582025378,90.07142080005724
MLP,0.25,1:MLP:contact:16384:64:values,Contact,values,0.9607899135244224,34.24495959910564
MLP,0.25,1:MLP:contact:16384:64:filtered,Contact,filtered,0.6178523455710092,86.74804259999655
MLP,0.25,1:MLP:bellman:16384:16:2:lipschitz,Bellman,lipschitz,0.5413289073085252,32.6886498000822
MLP,0.25,1:MLP:bellman:16384:16:2:derivative,Bellman,derivative,0.5406518943600531,84.41971360007301
MLP,0.25,1:MLP:bellman:16384:16:8:lipschitz,Bellman,lipschitz,0.539410959298948,33.20963080000365
MLP,0.25,1:MLP:bellman:16384:16:8:derivative,Bellman,derivative,0.5387356581750282,84.94122990005417
MLP,0.25,1:MLP:bellman:16384:32:2:lipschitz,Bellman,lipschitz,0.6646300624815922,32.680703999940306
MLP,0.25,1:MLP:bellman:16384:32:2:derivative,Bellman,derivative,0.6645685298644821,84.41086459998041
MLP,0.25,1:MLP:bellman:16384:32:8:lipschitz,Bellman,lipschitz,0.6642264158308535,33.199589500029106
MLP,0.25,1:MLP:bellman:16384:32:8:derivative,Bellman,derivative,0.6641648369504765,84.93022010003915
MLP,0.25,1:MLP:bellman:16384:64:2:lipschitz,Bellman,lipschitz,1.1350494095586328,32.67088649998186
MLP,0.25,1:MLP:bellman:16384:64:2:derivative,Bellman,derivative,1.1350128057056281,84.40203060000204
MLP,0.25,1:MLP:bellman:16384:64:8:lipschitz,Bellman,lipschitz,1.1350143555391696,33.17281960003311
MLP,0.25,1:MLP:bellman:16384:64:8:derivative,Bellman,derivative,1.1349777516870745,84.90335290005896
MLP,0.25,1:MLP:bellman:65536:16:2:lipschitz,Bellman,lipschitz,0.5375608411568464,34.51648750004824
MLP,0.25,1:MLP:bellman:65536:16:2:derivative,Bellman,derivative,0.5368658489942391,86.25621650001267
MLP,0.25,1:MLP:bellman:65536:16:8:lipschitz,Bellman,lipschitz,0.5356464425776721,36.603894499945454
MLP,0.25,1:MLP:bellman:65536:16:8:derivative,Bellman,derivative,0.5349496740118411,88.34113050001906
MLP,0.25,1:MLP:bellman:65536:32:2:lipschitz,Bellman,lipschitz,0.6574253799790313,34.460368500091136
MLP,0.25,1:MLP:bellman:65536:32:2:derivative,Bellman,derivative,0.6573645457392558,86.19753910007421
MLP,0.25,1:MLP:bellman:65536:32:8:lipschitz,Bellman,lipschitz,0.657021710182562,36.51332329999423
MLP,0.25,1:MLP:bellman:65536:32:8:derivative,Bellman,derivative,0.6569608759427865,88.2394714000402
MLP,0.25,1:MLP:bellman:65536:64:2:lipschitz,Bellman,lipschitz,1.1238656172381525,34.464682599995285
MLP,0.25,1:MLP:bellman:65536:64:2:derivative,Bellman,derivative,1.1238290051724107,86.19837080000434
MLP,0.25,1:MLP:bellman:65536:64:8:lipschitz,Bellman,lipschitz,1.1238306117920729,36.4731274000369
MLP,0.25,1:MLP:bellman:65536:64:8:derivative,Bellman,derivative,1.123793999726331,88.19720480003161
MLP,0.5,2:MLP:contact:4096:16:values,Contact,values,1.058760275822351,34.456694900407456
MLP,0.5,2:MLP:contact:4096:16:filtered,Contact,filtered,0.8033257593415328,87.08196699997643
MLP,0.5,2:MLP:contact:4096:32:values,Contact,values,1.1289014866297293,33.21185339987278
MLP,0.5,2:MLP:contact:4096:32:filtered,Contact,filtered,0.767711087841235,85.38035480002873
MLP,0.5,2:MLP:contact:4096:64:values,Contact,values,1.6558674721209172,32.61843489995226
MLP,0.5,2:MLP:contact:4096:64:filtered,Contact,filtered,0.7783397653929569,84.54386119998526
MLP,0.5,2:MLP:contact:16384:16:values,Contact,values,0.9337557276694497,41.45574620028492
MLP,0.5,2:MLP:contact:16384:16:filtered,Contact,filtered,0.7925935252824274,96.65178630000446
MLP,0.5,2:MLP:contact:16384:32:values,Contact,values,0.9479157855357698,36.578125498781446
MLP,0.5,2:MLP:contact:16384:32:filtered,Contact,filtered,0.7484327010142806,90.03982690005796
MLP,0.5,2:MLP:contact:16384:64:values,Contact,values,1.1506732397847372,34.25539260049118
MLP,0.5,2:MLP:contact:16384:64:filtered,Contact,filtered,0.7284835372274756,86.76797370001441
MLP,0.5,2:MLP:bellman:16384:16:2:lipschitz,Bellman,lipschitz,0.5836727709984189,32.68363679997856
MLP,0.5,2:MLP:bellman:16384:16:2:derivative,Bellman,derivative,0.5830003600040072,84.4142700000084
MLP,0.5,2:MLP:bellman:16384:16:8:lipschitz,Bellman,lipschitz,0.5794099670129071,33.2107920999988
MLP,0.5,2:MLP:bellman:16384:16:8:derivative,Bellman,derivative,0.5787375560184955,84.94065210002009
MLP,0.5,2:MLP:bellman:16384:32:2:lipschitz,Bellman,lipschitz,0.6993295281399696,32.67887120001251
MLP,0.5,2:MLP:bellman:16384:32:2:derivative,Bellman,derivative,0.6988163308687945,84.40993550000712
MLP,0.5,2:MLP:bellman:16384:32:8:lipschitz,Bellman,lipschitz,0.6985635046976313,33.199314500030596
MLP,0.5,2:MLP:bellman:16384:32:8:derivative,Bellman,derivative,0.6980505143237679,84.92108210001606
MLP,0.5,2:MLP:bellman:16384:64:2:lipschitz,Bellman,lipschitz,1.1761977443675278,32.67377229995327
MLP,0.5,2:MLP:bellman:16384:64:2:derivative,Bellman,derivative,1.1761089141373304,84.40445499995258
MLP,0.5,2:MLP:bellman:16384:64:8:lipschitz,Bellman,lipschitz,1.176112854394887,33.178246600029524
MLP,0.5,2:MLP:bellman:16384:64:8:derivative,Bellman,derivative,1.1760240241646898,84.90801910002483
MLP,0.5,2:MLP:bellman:65536:16:2:lipschitz,Bellman,lipschitz,0.5798829870636837,34.48984130000463
MLP,0.5,2:MLP:bellman:65536:16:2:derivative,Bellman,derivative,0.5790309182320925,86.22717450000346
MLP,0.5,2:MLP:bellman:65536:16:8:lipschitz,Bellman,lipschitz,0.5756197251712365,36.609932799998205
MLP,0.5,2:MLP:bellman:65536:16:8:derivative,Bellman,derivative,0.5747679615960806,88.34479649999412
MLP,0.5,2:MLP:bellman:65536:32:2:lipschitz,Bellman,lipschitz,0.6919455027700678,34.46493509999709
MLP,0.5,2:MLP:bellman:65536:32:2:derivative,Bellman,derivative,0.6914323054988927,86.20520730002318
MLP,0.5,2:MLP:bellman:65536:32:8:lipschitz,Bellman,lipschitz,0.6911794793277295,36.51615260000108
